source,target
Open storage,Открыть хранилище
Select from storage,Выбрать из хранилища
Add a directory,Добавить каталог
Open,Открыть
Save,Сохранить
Folder,Папка
Confirm,Подтвердить
"""%s"" already exists. Do you want to replace it?","""%s"" уже существует. Хотите заменить его?"
Replace,Заменить
Back,Назад
"From “Select Folder”, select the folder you want to display, then grant access.
If you do not want to grant access permissions, use “Open storage” and select the file.","В разделе “Select Folder” выберите папку, которую хотите отобразить, и предоставьте доступ.
Если вы не хотите предоставлять разрешения на доступ, используйте “Open storage” и выберите файл."
Select folder,Выбрать папку
Search from other directories,Поиск в других каталогах
Save to other directory,Сохранить в другой каталог
Select All,Выделить всё
Deselect all,Снять всё выделение
Selected: %d,Выделено: %d
Type,Тип
Date modified,Дата изменения
Name,Имя
Format,Формат
Size,Размер
Create new folder,Создать папку
Cancel,Отмена
"You cannot use folder names that begin with a period (.) or any of the following characters.
%s","Нельзя использовать имена папок, которые начинаются с точки (.) или содержат любой из следующих символов.
%s"
"""%s"" already exists. Please enter a different folder name.","""%s"" уже существует. Введите другое имя папки."
Could not add directory,Не удалось добавить каталог
Cannot add folders beginning with a period (.) or inside a folder that begins with a period to the directory list. Please choose a different folder.,"Нельзя добавить в список каталогов папки, начинающиеся с точки (.) или находящиеся внутри папки, которая начинается с точки. Выберите другую папку."
Could not be added as you already have the maximum number of directories.,"Не удалось добавить, так как достигнуто максимальное число каталогов."
Could not open file,Не удалось открыть файл
Cannot open files beginning with a period (.) or inside a folder that begins with a period. Please choose a different file.,"Нельзя открыть файлы, начинающиеся с точки (.) или находящиеся внутри папки, которая начинается с точки. Выберите другой файл."
Could not select folder,Не удалось выбрать папку
Cannot select folders beginning with a period (.) or inside a folder that begins with a period. Please select a different folder.,"Нельзя выбрать папки, начинающиеся с точки (.) или находящиеся внутри папки, которая начинается с точки. Выберите другую папку."
Could not save file,Не удалось сохранить файл
You cannot choose a folder beginning with a period (.) or inside a folder that begins with a period as a save location. Please choose a different folder.,"Нельзя выбрать в качестве места сохранения папку, начинающуюся с точки (.) или находящуюся внутри папки, которая начинается с точки. Выберите другую папку."
"You cannot use a file name starting with a period (.) or including any of the following characters.
%s","Нельзя использовать имя файла, начинающееся с точки (.) или содержащее любой из следующих символов.
%s"
Close,Закрыть
