source,japanese,target
*soft* circle,ほわ丸,Пушистый круг
Adjust line width,線幅修正,Изменить толщину линии
Airbrush,エアブラシ,Аэрограф
Auto select,自動選択,Автовыделение
Background,背景,Фон
Background color stripe,背景色ストライプ,Полоса фонового цвета
Balloon,フキダシ,Выноска
Balloon pen,フキダシペン,Перо выноски
Balloon tail,フキダシしっぽ,Хвостик выноски
Bead chain,ビーズアクセサリー,Бусы
Bezier curve,ベジェ曲線,Кривая Безье
Black soot,黒砂目,Чёрная копоть
Blend,色混ぜ,Смешивание
Bloodstain,血痕,Пятна крови
Blue sky,青空,Голубое небо
Blur,ぼかし,Размытие
Book,本,Книга
Braid,組紐,Плетёный шнур
Brightness,陽気,Сияние
Brush,筆,Кисть
Brush pen,筆ペン,Кисть-перо
Building,ビル,Здание
Bumpy,デコボコ,Бугристая линия
Burst,破裂,Взрыв
Button,ボタン,Пуговица
Calligraphy,カリグラフィ,Каллиграфия
Chain,鎖,Цепь
Chalk,チョーク,Мел
Charcoal,木炭,Уголь
Cherry,桜,Сакура
Circular text,円形テキスト,Текст по кругу
Clothing,服飾,Одежда
Cloud,雲,Облако
Comic,コミック,Комикс
Concept,,
Connect vector lines,ベクター線つなぎ,Соединить векторные линии
Continuous curve,連続曲線,Непрерывная кривая
Control point,制御点,Контрольная точка
Copy stamp,コピースタンプ,Клонирующий штамп
Correct line,線修正,Коррекция линии
Crack,ヒビ割れ,Трещины
Crayon,クレヨン,Восковой мелок
Create ruler,定規作成,Создать линейку
Cross-hatching (for tone scraping),カケアミ(トーン削り用),Штриховка (для скретчинга тона)
Cross-hatching x1,カケアミ1カケ,Штриховка x1
Cross-hatching x4,カケアミ4カケ,Штриховка x4
Curve,曲線,Кривая
Curve balloon,曲線フキダシ,Кривая выноска
Curve ruler,曲線定規,Кривая линейка
Dappled light,淡い光,Мягкий свет
Dark focus lines (curved),濃い集中線(曲線指定),Тёмные линии концентрации (кривые)
Dark speed lines,濃い流線,Тёмные линии скорости
Dashed line,破線,Штриховая линия
Decoration,デコレーション,Декорация
Dense flash,密フラッシュ,Плотная вспышка
Dense focus lines,密な集中線,Плотные линии концентрации
Direct draw,直接描画,Прямое рисование
Divide frame border,枠線分割,Разделить рамку кадра
Divide frame folder,コマフォルダー分割,Разделить папку кадров
Dot pen,ドットペン,Точечное перо
Dotted line,点線,Пунктирная линия
Download,ダウンロード,Загрузка
Droplet,飛沫,Капли
Dry Gouache,ドライガッシュ,Сухая гуашь
Dry ink,かすれ墨,Сухая тушь
Dynamic Eraser,速度消しゴム,Скоростной ластик
Dynamic_Smooth,,
Edit timeline,タイムライン編集,Редактировать таймлайн
Effect,効果・演出,Эффекты
Ellipse,楕円選択,Эллипс
Ellipse balloon,楕円フキダシ,Овальная выноска
Enclose and fill,囲って塗る,Замкнуть и залить
Erase selection,選択消し,Стереть выделение
Eraser,消しゴム,Ластик
Eyedropper,スポイト,Пипетка
Fallen leaves,落ち葉,Опавшие листья
Feather,羽,Пёрышко
Felt pen,サインペン,Фломастер
Figure,図形,Фигура
Figure ruler,図形定規,Фигурная линейка
Fill,塗りつぶし,Заливка
Fill leftover,塗り残し埋め,Закрасить пропуски
Finger tip,指先,Палец
Firework,花火,Фейерверк
Flash,フラッシュ,Вспышка
Flash pattern,ベタフラッシュ,Узор вспышки
Flat marker,フラットマーカー,Плоский маркер
Flat watercolor brush,水彩平筆,Плоская акварельная кисть
Focus lines,集中線,Линии концентрации
Foreground to background,描画色から背景色,Из основного в фоновый
Foreground to transparent,描画色から透明色,Из основного в прозрачный
Frame border,コマ枠,Рамка кадра
Frame border pen,コマ枠ペン,Перо рамки кадра
Freeform gradient,等高線塗り,Контурная заливка
G-pen,Gペン,Перо G
Gauze,ガーゼ,Марля
Gauze cloud,雲ガーゼ,Облачная марля
Glitter,グリッター,Блёстки
Gloom,陰気,Мрак
Gouache,ガッシュ,Гуашь
Gouache blender,ガッシュなじませ,Растушёвка гуаши
Gradient,グラデーション,Градиент
Gradient erase,消しグラデーション,Градиентное стирание
Grass,草むら,Заросли травы
Grass patch,草,Трава
Grassland,草原,Луг
Ground,地面,Земля
