key,source,target
1/1/3#0,Adapt view to editing target,Подогнать вид под цель редактирования
1/1/5#0,Make canvas camera reflect perspective view,Синхронизировать камеру холста с перспективным видом
1/1/7#0,Make perspective view camera reflect canvas,Синхронизировать камеру перспективного вида с холстом
1/1/9#0,Show face border edge,Показать рёбра граней
1/1/11#0,Sync perspective view and canvas,Синхронизировать перспективный вид и холст
1/1/13#0,Always show camera and visible area,Всегда показывать камеру и видимую область
1/1/15#0,Revert dividing position to default.,Вернуть положение разделителя по умолчанию.
1/1/17#0,Show command bar,Показать панель команд
1/1/20#0,Select view layout,Выбрать макет вида
1/1/22#0,Adapt view to editing target,Подогнать вид под цель редактирования
1/1/24#0,Makes canvas camera reflect perspective view,Синхронизирует камеру холста с перспективным видом
1/1/26#0,Makes perspective view camera reflect canvas,Синхронизирует камеру перспективного вида с холстом
1/1/28#0,Shows face border edge,Показывает рёбра граней
1/1/30#0,Syncs perspective view and canvas,Синхронизирует перспективный вид и холст
1/1/32#0,Always shows camera and visible area,Всегда показывает камеру и видимую область
1/1/63#0,Up Perspective/Front Right,Перспектива сверху / Спереди справа
1/1/64#0,Perspective Up/Right Back,Перспектива сверху / Справа сзади
1/1/65#0,Up Perspective/Back Left,Перспектива сверху / Сзади слева
1/1/66#0,Perspective Up/Left Front,Перспектива сверху / Слева спереди
1/1/67#0,Front Right/Bottom Perspective,Спереди справа / Перспектива снизу
1/1/68#0,Right Back/Perspective Bottom,Справа сзади / Перспектива снизу
1/1/69#0,Back Left/Bottom Perspective,Сзади слева / Перспектива снизу
1/1/70#0,Left Front/Perspective Bottom,Слева спереди / Перспектива снизу
1/1/35#0,Perspective view,Перспективный вид
1/1/37#0,Front view,Вид спереди
1/1/39#0,Back view,Вид сзади
1/1/41#0,Left view,Вид слева
1/1/43#0,Right view,Вид справа
1/1/45#0,Top view,Вид сверху
1/1/47#0,Bottom view,Вид снизу
1/1/61#0,Hide elements that are further forward than the specified point and only show the back,"Скрыть элементы, расположенные ближе указанной точки, и показать только заднюю часть"
1/1/57#0,View settings,Настройки вида
1/1/60#0,Hide foreground,Скрыть передний план
2/1/17#0,Import file (%s),Импортировать файл (%s)
2/1/4#0,Range of frames to import as pose sequence,Диапазон кадров для импорта как последовательность поз
2/1/14#0,"Some motion files may have terms of use.
Please check these before using the file.","Некоторые движущиеся файлы могут иметь условия использования.
Пожалуйста, проверьте это перед использованием файла."
2/1/16#0,Cancel,Отмена
2/1/6#0,Start frame,Начальный кадр
2/1/10#0,End frame,Конечный кадр
3/1/6#0,License information:,Сведения о лицензии:
3/1/2#0,VRM information,Сведения о VRM
3/1/8#0,Copy license information,Копировать сведения о лицензии
3/1/12#0,The license information has been copied.,Сведения о лицензии скопированы.
3/1/13#0,Title,Название
3/1/14#0,Version,Версия
3/1/15#0,Author,Автор
3/1/16#0,Contact Information,Контактная информация
3/1/17#0,Browse,Обзор
3/1/18#0,Personation / Characterization Permission,Разрешение на олицетворение / создание образа
3/1/19#0,Unknown,Неизвестно
3/1/20#0,The avatar may only be manipulated by its author,Аватаром может управлять только его автор
3/1/21#0,Authorized only to explicitly specified persons,Разрешено только явно указанным лицам
3/1/22#0,Authorized to anyone,Разрешено всем
3/1/23#0,Permission to express violent acts with this avatar,Разрешение изображать сцены насилия с этим аватаром
3/1/24#0,Permission to express sexual acts with this avatar,Разрешение изображать сцены сексуального характера с этим аватаром
3/1/25#0,For commercial use,Для коммерческого использования
3/1/26#0,Unknown,Неизвестно
3/1/27#0,Allow,Разрешить
3/1/28#0,Disallow,Запретить
3/1/29#0,Other License URL,URL другой лицензии
3/1/30#0,Redistribution / Adaptations License,Лицензия на распространение / адаптации
3/1/31#0,Unknown,Неизвестно
3/1/32#0,Redistribution Prohibited,Распространение запрещено
3/1/33#0,Copyright waiver ,Отказ от авторских прав 
3/1/34#0,Creative Commons CC BY license,Лицензия Creative Commons CC BY
3/1/35#0,Creative Commons CC BY-NC license,Лицензия Creative Commons CC BY-NC
3/1/36#0,Creative Commons CC BY-SA license,Лицензия Creative Commons CC BY-SA
3/1/37#0,Creative Commons CC BY-NC-SA license,Лицензия Creative Commons CC BY-NC-SA
3/1/38#0,Creative Commons CC BY-ND license,Лицензия Creative Commons CC BY-ND
3/1/39#0,Creative Commons CC BY-NC-ND license,Лицензия Creative Commons CC BY-NC-ND
3/1/40#0,Other,Other
3/1/41#0,Other license conditions for redistribution/adaptation,Другие условия лицензии для распространения/адаптации
3/1/42#0,Name,Имя
3/1/43#0,Version,Версия
3/1/44#0,Author,Автор
3/1/45#0,Copyright owner,Владелец авторских прав
3/1/46#0,Contact information for the author (representative),Контактная информация автора (представителя)
3/1/47#0,Information for original/related works if applicable,Сведения об оригинальных/связанных произведениях (при наличии)
3/1/48#0,Third-party license display,Отображение лицензий третьих сторон
3/1/49#0,URL to license text,URL текста лицензии
3/1/50#0,User who can manipulate this avatar,Кто может управлять этим аватаром
3/1/51#0,Unknown,Неизвестно
3/1/52#0,Only Author,Только автор
3/1/53#0,Explicitly Licensed Person,Явно лицензированное лицо
3/1/54#0,Everyone,Все
3/1/55#0,Yes,Да
3/1/56#0,No,Нет
3/1/57#0,Permission to use for excessively violent expressions,Разрешение использовать для изображения чрезмерного насилия
3/1/58#0,Permission to use for excessively sexual expressions,Разрешение использовать для изображения чрезмерно сексуального содержания
3/1/59#0,Permission to use for religious expressions or political expressions,Разрешение использовать для религиозных или политических высказываний
3/1/60#0,Permission to use for antisocial expressions or hate expressions,Разрешение использовать для антисоциальных или враждебных высказываний
3/1/61#0,Permission to Redistribute,Разрешение на распространение
3/1/62#0,Permission for Commercial Use,Разрешение на коммерческое использование
3/1/63#0,Unknown,Неизвестно
3/1/64#0,Only permitted for individual non-commercial use,Разрешено только для личного некоммерческого использования
3/1/65#0,Permitted for individual commercial or non-commercial use,Разрешено для личного коммерческого или некоммерческого использования
3/1/66#0,Permitted for all individual and corporate users,Разрешено для всех частных и корпоративных пользователей
3/1/67#0,Credit Attribution,Указание авторства
3/1/68#0,Unknown,Неизвестно
3/1/69#0,Required,Обязательно
3/1/70#0,Not required,Не требуется
3/1/71#0,Permission for Adaptation and Redistribution of Adaptations,Разрешение на адаптацию и распространение адаптаций
3/1/72#0,Unknown,Неизвестно
3/1/73#0,Not permitted,Не разрешено
3/1/74#0,Allow adaptation only,Разрешить только адаптацию
3/1/75#0,Allow adaptation and redistribution of adaptations,Разрешить адаптацию и распространение адаптаций
3/1/76#0,URL for other license conditions,URL для других условий лицензии
4/1/46#0,Auto Action,Автооперация
4/1/5#0,Add auto action,Добавить автооперацию
4/1/7#0,Delete auto action,Удалить автооперацию
4/1/9#0,Change auto action,Изменить автооперацию
4/1/11#0,Duplicate auto action,Дублировать автооперацию
4/1/13#0,Move Auto Action to a different set,Переместить автооперацию в другой набор
4/1/15#0,Copy Auto Action to a different set,Копировать автооперацию в другой набор
4/1/17#0,Delete command,Удалить команду
4/1/19#0,Duplicate command,Дублировать команду
4/1/47#0,Create new set,Создать новый набор
4/1/21#0,Edit set,Редактировать набор
4/1/23#0,Switch the set,Переключить набор
4/1/25#0,Start to record auto action,Начать запись автооперации
4/1/27#0,Play auto action,Воспроизвести автооперацию
4/1/48#0,Loop play,Циклическое воспроизведение
4/1/29#0,Export set,Экспортировать набор
4/1/31#0,Import set,Импортировать набор
4/1/33#0,Register set as material,Зарегистрировать набор как материал
4/1/35#0,Add auto action set,Добавить набор автоопераций
4/1/36#0,Auto-install downloaded materials,Автоматически устанавливать загруженные материалы
4/1/49#0,Playback settings,Настройки воспроизведения
4/1/3#0,Button mode,Режим кнопок
4/1/37#0,Show the action setting bar,Показать панель настройки операций
4/1/38#0,Show command bar,Показать панель команд
4/1/50#0,Auto action %d,Автооперация %d
4/1/51#0,New auto action set %d,Новый набор автоопераций %d
4/1/52#0,Copy of %s,Копия %s
4/1/53#0,Add auto action set,Добавить набор автоопераций
4/1/45#0,Delete selected auto action,Удалить выбранную автооперацию
