source,target
BG parts,Части фона
Matrial preset,Набор настроек материала
Angle preset,Набор настроек ракурса
Layout preset,Набор настроек компоновки
Pose preset,Набор настроек позы
Situation preset,Набор настроек ситуации
Feature point,Характерная точка
Base,Основа
Hair style,Причёска
Facial expression,Выражение лица
Body,Тело
Accessories,Аксессуары
Background,Фон
Hair,Волосы
Face,Лицо
Motion,Движение
Pose,Поза
Shape,Фигура
Background parts,Части фона
Material preset,Набор настроек материала
Moveable preset,Набор настроек подвижности
Material,Материал
Angle,Угол
Layout,Макет
Movable parts,Подвижные части
Scene,Сцена
Small object,Мелкий предмет
Rotate,Повернуть
Character Motion,Движение персонажа
Unique point,Уникальная точка
"

#version 110
void main(void)
{
    vec3 normal = normalize(gl_NormalMatrix * gl_Normal);	// カメラ座標に変換。
    gl_TexCoord[0].st = (normal.xy + vec2(1.0, 1.0)) / 2.0;		// -1～1を0～1に変換。
    gl_Position = ftransform();
}

",
"

#version 110
uniform sampler2D diffusemap;
void main(void)
{
    vec4 color = texture2D(diffusemap, gl_TexCoord[0].st); // diffuseを使う
    gl_FragColor = color;
}

",
"

#version 110
varying vec3 position;
varying vec3 normal;

void main(void)
{
    position = vec3(gl_ModelViewMatrix * gl_Vertex);
    normal = normalize(gl_NormalMatrix * gl_Normal);
    gl_Position = ftransform();
    gl_TexCoord[0] = gl_TextureMatrix[0] * gl_MultiTexCoord0;
    gl_FrontColor = gl_Color;
}

",
"
#version 110

uniform sampler2D diffusemap;
uniform sampler2D toonmap;
uniform int isdiffusetex;
uniform float liint[4];
varying vec3 position;
varying vec3 normal;

vec2 shadeDS(vec4 sposition, float sconstantAttenuation, float slinearAttenuation, float squadraticAttenuation, vec4 shalfVector, vec3 fnormal)
{
    vec3 lightVec;
    float attenuation;
    if (sposition.w == 0.0) {
        // 平行光源
        lightVec = normalize(sposition.xyz);    // spositionの座標系はView座標である。
        attenuation = 1.0;
    }else {
        // 点光源
        lightVec = sposition.xyz - position;
        float dis = length(lightVec); // 光源までの距離
        // 減衰係数
        float attenuation = 1.0 / (sconstantAttenuation +
                            slinearAttenuation * dis +
                            squadraticAttenuation * dis * dis);
        lightVec = normalize(lightVec);
    }
    vec2 result = vec2(0.0, 0.0);
    float diffuse = dot(lightVec, fnormal); // ディフューズ
    if (diffuse > 0.0)
    {
#if 0
    // 反射ベクトル
        vec3 viewVec = normalize(-position);
        vec3 reflectVec = reflect(-lightVec, fnormal);
        float specular = pow(max(dot(viewVec, reflectVec), 0.0), max(gl_FrontMaterial.shininess, 0.0001));
#else
    // ハーフベクトル
        //vec3 halfVec = normalize(lightVec + normalize(-position));
        vec3 halfVec = shalfVector.xyz;
        float specular = pow(max(dot(fnormal, halfVec), 0.0), max(gl_FrontMaterial.shininess, 0.0001));
#endif
        result.x = attenuation * diffuse;
        result.y = attenuation * specular;
    }
    return result;
}

// トゥーンシェーダーメイン関数
void main (void)
{
    vec4 texcolor = vec4(1, 1, 1, 1); // gl_Color;
    if (isdiffusetex != 0) texcolor = texture2D(diffusemap, gl_TexCoord[0].st);

    vec3 fnormal = normalize(normal);
    vec4 amblight  = vec4(0, 0, 0, 0);
    vec4 speclight = vec4(0, 0, 0, 0);
    vec4 difflight = vec4(0, 0, 0, 0);
    for (int i = 0; i < 2; i++) {
        amblight += gl_LightSource[i].ambient;
        //        vec2 ds = liint[i] * shadeDS(i, fnormal); // このようにiを渡すと、ループ展開されないビデオカードがある。
        vec2 ds = liint[i] * shadeDS(gl_LightSource[i].position, gl_LightSource[i].constantAttenuation, gl_LightSource[i].linearAttenuation,
                                        gl_LightSource[i].quadraticAttenuation, gl_LightSource[i].halfVector, fnormal);
        difflight += ds.x * gl_LightSource[i].diffuse;
        speclight += ds.y * gl_LightSource[i].specular;
    }
    amblight  += gl_LightModel.ambient;
    vec4 diffcolor = difflight * gl_FrontMaterial.diffuse + amblight * gl_FrontMaterial.ambient + gl_FrontMaterial.emission;    vec4 speccolor = speclight * gl_FrontMaterial.specular;

    gl_FragColor = diffcolor + speccolor;
    // 階層化はLUTテクスチャで行ないたいがとりあえずif文で分岐。
    float intensity = (gl_FragColor.x + gl_FragColor.y + gl_FragColor.z) / 3.0;
#if 1
    if (intensity < 0.05)        gl_FragColor = vec4(0.0, 0.0, 0.0, 1.0);
    else if (intensity < 0.2)    gl_FragColor = vec4(0.2, 0.2, 0.2, 1.0);
    else if (intensity < 0.4)    gl_FragColor = vec4(0.4, 0.4, 0.4, 1.0);
    else if (intensity < 0.6)    gl_FragColor = vec4(0.6, 0.6, 0.6, 1.0);
    else if (intensity < 0.8)    gl_FragColor = vec4(0.8, 0.8, 0.8, 1.0);
    else                        gl_FragColor = vec4(1.0, 1.0, 1.0, 1.0);
//    gl_FragColor *= texcolor; // テクスチャの値を乗算すべきか？
#else
    gl_FragColor = texture2D(toonmap, vec2(0.5, intensity));
#endif
    gl_FragColor.a = texcolor.a; // アルファはテクスチャの値を使う
}


",
"

#version 110
varying vec3 position;
varying vec3 normal;
void main(void)
{
    position = vec3(gl_ModelViewMatrix * gl_Vertex);
    normal = normalize(gl_NormalMatrix * gl_Normal);
    gl_Position = ftransform();
    gl_TexCoord[0] = gl_TextureMatrix[0] * gl_MultiTexCoord0;
    gl_FrontColor = gl_Color;
}

",
"
#version 110
uniform sampler2D diffusemap;
uniform int isdiffusetex;
uniform float liint[4];
varying vec3 position;
varying vec3 normal;

vec4 lit(float NdotL, float NdotH, float m) {
    float ambient = 1.0;
    float diffuse = max(NdotL, 0.0);
    float specular = step(0.0, NdotL) * pow(max(NdotH, 0.001), m);
    return vec4(ambient, diffuse, specular, 1.0);
}
vec2 shadeDS(vec4 sposition, float sconstantAttenuation, float slinearAttenuation, float squadraticAttenuation, vec4 shalfVector, vec3 fnormal)
{
    vec3 lightVec;
    float attenuation;
    if (sposition.w == 0.0) {
        // 平行光源
        lightVec = normalize(sposition.xyz);    // spositionの座標系はView座標である。
        attenuation = 1.0;
    }else {
        // 点光源
        lightVec = sposition.xyz - position;
        float dis = length(lightVec); // 光源までの距離
        // 減衰係数
        float attenuation = 1.0 / (sconstantAttenuation +
                             slinearAttenuation * dis +
                            squadraticAttenuation * dis * dis);
        lightVec = normalize(lightVec);
    }
    vec2 result = vec2(0.0, 0.0);
    float diffuse = dot(lightVec, fnormal); // ディフューズ
    if (diffuse > 0.0)
    {
        // ハーフベクトル
        //vec3 halfVec = normalize(lightVec + normalize(-position));
        vec3 halfVec = shalfVector.xyz;
        float specular = pow(max(dot(fnormal, halfVec), 0.0), max(gl_FrontMaterial.shininess, 0.0001));
        result.x = attenuation * diffuse;
        result.y = attenuation * specular;
    }
    return result;
}

void main (void)
{
    vec4 texcolor = vec4(1, 1, 1, 1);
    if (isdiffusetex != 0) texcolor = texture2D(diffusemap, gl_TexCoord[0].st);
    vec3 fnormal = normalize(normal);
    vec4 amblight  = vec4(0, 0, 0, 0);
    vec4 speclight = vec4(0, 0, 0, 0);
    vec4 difflight = vec4(0, 0, 0, 0);
    for (int i = 0; i < 2; i++) {
        amblight += gl_LightSource[i].ambient;
        //        vec2 ds = liint[i] * shadeDS(i, fnormal); // このようにiを渡すと、ループ展開されないビデオカードがある。
        vec2 ds = liint[i] * shadeDS(gl_LightSource[i].position, gl_LightSource[i].constantAttenuation, gl_LightSource[i].linearAttenuation,
                                        gl_LightSource[i].quadraticAttenuation, gl_LightSource[i].halfVector, fnormal);
        difflight += ds.x * gl_LightSource[i].diffuse;
        speclight += ds.y * gl_LightSource[i].specular;
    }
    amblight  += gl_LightModel.ambient;
    vec4 diffcolor = difflight * gl_FrontMaterial.diffuse + amblight * gl_FrontMaterial.ambient + gl_FrontMaterial.emission;
    vec4 speccolor = speclight * gl_FrontMaterial.specular;
    gl_FragColor = min(diffcolor, vec4(1,1,1,1)) * texcolor;  // 1以下にクランプしているのはデフォルトシェーダーに合わせるため。
    gl_FragColor += speccolor;
    gl_FragColor.a = texcolor.a; // アルファはテクスチャの値を使う
}

",
"

#version 110
varying vec3 position; // カメラ座標での頂点位置
varying vec3 normal;
varying vec3 sptex;
uniform mat3 matRotate;

void main(void)
{
	position = vec3(gl_ModelViewMatrix * gl_Vertex);
	normal = normalize(gl_NormalMatrix * gl_Normal);
	gl_Position = ftransform();
	gl_TexCoord[0] = gl_TextureMatrix[0] * gl_MultiTexCoord0;
	gl_FrontColor = gl_Color;
	sptex = matRotate * normal;
}

",
