source,target
Failed to verify the license.,Не удалось проверить лицензию.
"Failed to verify the license. 
The application will launch with some limited functions. You will not be able to save your work.","Не удалось проверить лицензию. 
Приложение запустится с ограниченными функциями. Вы не сможете сохранять своё произведение."
$$$ Trial Period,$$$ Пробный период
$$$ Valid Period,$$$ Срок действия
$$$ Restricted functionality does not allow for data created in this format be saved.,"$$$ Ограниченная функциональность не позволяет сохранять данные, созданные в этом формате."
Purchase a license,Приобрести лицензию
"I already have a license /
I have signed up for a free offer","У меня уже есть лицензия /
Я оформил бесплатное предложение"
Launch with limited features,Запустить с ограниченными функциями
Cancel,Отмена
"Your trial period has expired. 
Certain features such as saving will be locked.","Срок действия пробного периода истёк. 
Некоторые функции, например сохранение, будут заблокированы."
"The valid period for this license has expired. 
Certain features such as saving will be locked.","Срок действия этой лицензии истёк. 
Некоторые функции, например сохранение, будут заблокированы."
https://us-lic.celsys.co.jp/productcontrol/periodexpired?key=%s,https://us-lic.celsys.co.jp/productcontrol/periodexpired?key=%s
license verification,проверка лицензии
trial registration,регистрация пробной версии
Go to the %s website and enter the above authentication key.,Перейдите на сайт %s и введите указанный выше ключ аутентификации.
"In the space below, enter the confirmation key shown on the %s website.","В поле ниже введите ключ подтверждения, показанный на сайте %s."
You can register your trial use from any web browser.,Зарегистрировать пробное использование можно из любого веб-браузера.
License authentication key,Ключ аутентификации лицензии
・ From mobile ,・ С мобильного устройства 
"If registering from a mobile phone, please scan the following 2D mobile response code.
The license authentication key will be automatically entered to the site.","При регистрации с мобильного телефона отсканируйте следующий 2D-код для мобильных устройств.
Ключ аутентификации лицензии будет автоматически введён на сайте."
"If you cannot register the trial even after trying the above method, please contact Support for help registering your license.","Если зарегистрировать пробную версию не удаётся даже после описанного выше способа, обратитесь в службу поддержки за помощью в регистрации лицензии."
E-mail:,Эл. почта:
Website:,Веб-сайт:
Next,Далее
Back,Назад
・ From web browser ,・ Из веб-браузера 
You can verify your license from a web browser or smartphone.,Проверить лицензию можно из веб-браузера или со смартфона.
"1. Access the license registration site and enter the above authentication key. 
This will generate a confirmation key.
","1. Зайдите на сайт регистрации лицензии и введите указанный выше ключ аутентификации. 
Будет создан ключ подтверждения.
"
"If using a mobile phone, please scan the following 2D mobile response code.","Если вы используете мобильный телефон, отсканируйте следующий 2D-код для мобильных устройств."
2. Enter the confirmation key from the license registration site in the below space.,2. Введите ключ подтверждения с сайта регистрации лицензии в поле ниже.
---,---
"There is a limit to the number of times you can switch the active device. 
Would you like to switch now?","Количество переключений активного устройства ограничено. 
Переключить сейчас?"
"If you activate your license on this device, the device your license is currently registered to will be deactivated. 
 There is a limit to the number of times you can transfer licenses across devices.","Если вы активируете лицензию на этом устройстве, устройство, на которое сейчас зарегистрирована лицензия, будет деактивировано. 
 Количество переносов лицензий между устройствами ограничено."
"If you activate your license on this device, your license will be deactivated from the previous device. There is a limit to the number of times you can transfer your plan across devices.","Если вы активируете лицензию на этом устройстве, лицензия будет деактивирована на предыдущем устройстве. Количество переносов плана между устройствами ограничено."
Are you sure you want to activate this device?,Вы действительно хотите активировать это устройство?
Would you like to switch your active device now?,Переключить активное устройство сейчас?
"You can use Companion Mode for free without a monthly plan. 
 To use Companion Mode, go back to the Start screen and tap ""Get Started"".","Режим Companion можно использовать бесплатно без месячного плана. 
 Чтобы использовать режим Companion, вернитесь на начальный экран и нажмите «Get Started»."
"If you wish to use multiple devices continuously, please apply for a plan with the appropriate number of devices.","Если вы хотите постоянно использовать несколько устройств, оформите план с подходящим количеством устройств."
"Your license will be deactivated from the previous device. If you wish to use your license on more than one device at once, please check for a suitable option. 
There is a limit to how often you can transfer your license across devices in one day.","Лицензия будет деактивирована на предыдущем устройстве. Если вы хотите использовать лицензию на нескольких устройствах одновременно, подберите подходящий вариант. 
Количество переносов лицензии между устройствами в течение одного дня ограничено."
"Your license will be deactivated from the previous device. If you wish to use your license on more devices at once, please check for a suitable plan. 
There is a limit to the number of times you can transfer your plan across devices.","Лицензия будет деактивирована на предыдущем устройстве. Если вы хотите использовать лицензию на большем числе устройств одновременно, подберите подходящий план. 
Количество переносов плана между устройствами ограничено."
"If you wish to use your license on more devices at once, please check for a suitable plan.","Если вы хотите использовать лицензию на большем числе устройств одновременно, подберите подходящий план."
About changing your plan,Об изменении плана
How to use Companion Mode,Как использовать режим Companion
Yes,Да
No,Нет
Activate and launch,Активировать и запустить
"You have already registered a trial, so you cannot register a second trial. 

If you get this message even if you have not previously registered a trial, please contact our support team for help.","Вы уже зарегистрировали пробную версию, поэтому не можете зарегистрировать её повторно. 

Если вы получаете это сообщение, хотя ранее не регистрировали пробную версию, обратитесь за помощью в нашу службу поддержки."
Authentication key,Ключ аутентификации
https://support.clip-studio.com/en-us/app-receptions/trial-authentication-failures,https://support.clip-studio.com/en-us/app-receptions/trial-authentication-failures
Verify license from another device,Проверить лицензию с другого устройства
Run,Выполнить
Note: The license will be verified upon next launch.,Примечание. Лицензия будет проверена при следующем запуске.
"Could not verify the license when launching the software. 
If the license cannot be verified within 3 days, the license verification dialog will appear again.","Не удалось проверить лицензию при запуске программы. 
Если лицензию не удастся проверить в течение 3 дней, диалог проверки лицензии появится снова."
Your plan has expired.,Срок действия вашего плана истёк.
"To change your current plan, 
tap “Use existing plan” and choose the new plan.","Чтобы изменить текущий план, 
нажмите «Использовать существующий план» и выберите новый план."
Try for free,Попробовать бесплатно
Up to 30 hours a month for free with no ads,До 30 часов в месяц бесплатно и без рекламы
Sign up,Зарегистрироваться
"Sign up for a plan
to draw and create without a time limit","Оформите план,
чтобы рисовать и творить без ограничений по времени"
From %s/year,От %s/год
From %s/month,От %s/месяц
Use existing plan,Использовать существующий план
Tap here for support,Нажмите здесь для поддержки
"Continue trial 
 You will not be able to save or export the project","Продолжить пробную версию 
 Вы не сможете сохранять и экспортировать проект"
"You need a monthly or annual plan 
to use this app","Для использования этого приложения 
нужен месячный или годовой план"
Your usage period has expired.,Срок использования истёк.
The current license cannot be used on this device.,Текущую лицензию нельзя использовать на этом устройстве.
"If you have made a change to your plan, please click on ""I already have a license"" and select your license.","Если вы изменили план, нажмите «У меня уже есть лицензия» и выберите свою лицензию."
Sign up for a plan,Оформить план
I already have a license,У меня уже есть лицензия
For those with an activation code,"Для тех, у кого есть код активации"
You can change the grade in future launches as well.,Изменить версию можно и при последующих запусках.
Learn more about the new features,Подробнее о новых возможностях
Keep using the trial of Clip Studio Paint,Продолжить использовать пробную версию Clip Studio Paint
"Always free, no ads (30 hours/month)","Всегда бесплатно, без рекламы (30 часов в месяц)"
%s - Usage period has expired,%s — срок использования истёк
Downloading the installer for Clip Studio Paint %s.,Загрузка установщика Clip Studio Paint %s.
Failed to download the installer.,Не удалось загрузить установщик.
Get Started,Начать
First 3 months free,Первые 3 месяца бесплатно
6 months free,6 месяцев бесплатно
Draw as long as you want,Рисуйте сколько угодно
For first-time users. Cancel anytime!,Для новых пользователей. Отмена в любой момент!
Cancel anytime!,Отмена в любой момент!
"You will be charged after the free trial
Cancel anytime","Плата будет взиматься после бесплатного пробного периода
Отмена в любой момент"
Use existing license,Использовать существующую лицензию
Get 6 months free and 20% off your first subscription,Получите 6 месяцев бесплатно и скидку 20% на первую подписку
20% off for new subscribers,Скидка 20% для новых подписчиков
Get 20% off your first subscription,Получите скидку 20% на первую подписку
Sign up and get 3 months free,Зарегистрируйтесь и получите 3 месяца бесплатно
6 month free trial,6-месячный бесплатный пробный период
"Billing will begin after the free trial ends.
If you cancel during the free trial period, no charges will be incurred.","Списание средств начнётся после окончания бесплатного пробного периода.
Если вы отмените подписку во время бесплатного пробного периода, плата взиматься не будет."
"You will not be charged
 once the free trial ends.","Плата не будет взиматься
 после окончания бесплатного пробного периода."
Launch in doodle mode,Запустить в режиме набросков
You cannot save or export in doodle mode.,В режиме набросков сохранение и экспорт недоступны.
Compare features here,Сравнить возможности здесь
"Sign up for free trial
","Зарегистрировать бесплатную пробную версию
"
"Sign up to get 
your first 6 months free","Зарегистрируйтесь и получите 
первые 6 месяцев бесплатно"
Register your trial to unlock all features for 30 days,"Зарегистрируйте пробную версию, чтобы разблокировать все функции на 30 дней"
Click here if you already have a serial number or subscription,"Нажмите здесь, если у вас уже есть серийный номер или подписка"
Try Clip Studio Paint,Попробовать Clip Studio Paint
You cannot save or export this project.,Вы не можете сохранять и экспортировать этот проект.
Failed to import license key file.,Не удалось импортировать файл ключа лицензии.
The application will launch with some limited functions. You will not be able to save your work.,Приложение запустится с ограниченными функциями. Вы не сможете сохранять своё произведение.
Find detailed on limited features,Подробнее об ограниченных функциях
here,здесь
Launch,Запустить
Register trial with all features unlocked,Зарегистрировать пробную версию со всеми разблокированными функциями
Log in to your Clip Studio account,Войдите в свою учётную запись Clip Studio
"Please enter the email and password of your Clip Studio account 
to register your trial and unlock all features. ","Введите адрес электронной почты и пароль вашей учётной записи Clip Studio, 
чтобы зарегистрировать пробную версию и разблокировать все функции. "
Could not log in. Please check your Internet connection and try again.,Не удалось войти. Проверьте подключение к Интернету и повторите попытку.
Email address,Адрес электронной почты
Password,Пароль
Register trial,Зарегистрировать пробную версию
Log in,Войти
Forgot your password?,Забыли пароль?
Don’t have a Clip Studio account?,Нет учётной записи Clip Studio?
Create account,Создать учётную запись
What is a Clip Studio account?,Что такое учётная запись Clip Studio?
Click here if your device is not connected to the Internet,"Нажмите здесь, если ваше устройство не подключено к Интернету"
Continue without logging in,Продолжить без входа
Free trial is unavailable if not logged in,Бесплатная пробная версия недоступна без входа
Log into Clip Studio,Войти в Clip Studio
Free trial is unavailable,Бесплатная пробная версия недоступна
Please enter your Clip Studio account details.,Введите данные вашей учётной записи Clip Studio.
Log in with a different account,Войти с другой учётной записью
Continue with Apple,Продолжить с Apple
Continue with Google,Продолжить с Google
OR,ИЛИ
New to Clip Studio?,Впервые в Clip Studio?
"Please enter your Clip Studio account email address and password
 and try again.","Введите адрес электронной почты и пароль вашей учётной записи Clip Studio
 и повторите попытку."
"Failed to log in. 
The email address or password for your Clip Studio account is incorrect.","Не удалось войти. 
Адрес электронной почты или пароль вашей учётной записи Clip Studio неверны."
"Failed to log in
to your Clip Studio account","Не удалось войти
в вашу учётную запись Clip Studio"
