key,source,target
Dust.dll:7:5,Correction,Коррекция
Dust.dll:7:6,Remove dust,Удалить пыль
Dust.dll:7:7,Dust size,Размер пыли
Dust.dll:7:8,Mode,Режим
Dust.dll:7:14,Remove dust from transparency,Удалять пыль с прозрачности
Dust.dll:7:15,Remove dust from white background,Удалять пыль с белого фона
Dust.dll:8:0,Fill transparent gaps with surrounding color,Заполнить прозрачные области окружающим цветом
Dust.dll:8:1,Fill transparent gaps with foreground color,Заполнить прозрачные области основным цветом
ExportPDFX.dll:63:8,PDF format,Формат PDF
ExportPDFX.dll:63:9,pdf,pdf
ExportPDFX.dll:126:0,Compression,Сжатие
ExportPDFX.dll:126:10,ZIP,ZIP
ExportPDFX.dll:127:4,JPEG (Highest),JPEG (наивысшее)
ExportPDFX.dll:127:5,JPEG (High),JPEG (высокое)
ExportPDFX.dll:127:6,JPEG (Medium),JPEG (среднее)
ExportPDFX.dll:127:7,JPEG (Low),JPEG (низкое)
ExportPDFX.dll:127:8,JPEG (Lowest),JPEG (наименьшее)
ExportPDFX.dll:132:4,Title,Название
ExportPDFX.dll:138:8,Subject,Тема
ExportPDFX.dll:144:12,Author,Автор
ExportPDFX.dll:151:0,Keywords,Ключевые слова
ExportPDFX.dll:157:4,Page Layout,Макет страницы
ExportPDFX.dll:157:5,Single Page,Одна страница
ExportPDFX.dll:157:6,Single Page Continuous,"Одна страница, непрерывно"
ExportPDFX.dll:157:7,Two-Up,Две страницы
ExportPDFX.dll:157:8,Two-Up Continuous,"Две страницы, непрерывно"
ExportPSB.dll:7:5,Photoshop Big Document,Документ Photoshop Big
ExportPSB.dll:7:6,psb|psb,psb|psb
ExportPSB.dll:7:7,Compression rate,Степень сжатия
ExportPSB.dll:7:8,Flattened image only,Только сведённое изображение
ExportPSB.dll:7:9,Text layer,Текстовый слой
ExportPSB.dll:7:10,Balloon,Облачко
ExportPSD.dll:7:5,Photoshop Document,Документ Photoshop
ExportPSD.dll:7:6,psd|psd,psd|psd
ExportPSD.dll:7:7,Compression rate,Степень сжатия
ExportPSD.dll:7:8,Flattened image only,Только сведённое изображение
ExportPSD.dll:7:9,Text layer,Текстовый слой
ExportPSD.dll:7:10,Balloon,Облачко
FlowBasedAbstraction.dll:7:5,Effect,Эффект
FlowBasedAbstraction.dll:7:6,Artistic,Художественный
FlowBasedAbstraction.dll:7:7,Process,Способ обработки
FlowBasedAbstraction.dll:7:8,Line thickness,Толщина линии
FlowBasedAbstraction.dll:7:9,Line simplicity,Простота линий
FlowBasedAbstraction.dll:7:10,Line density,Плотность линий
FlowBasedAbstraction.dll:7:11,Line opacity,Непрозрачность линий
FlowBasedAbstraction.dll:7:12,Line anti-aliasing,Сглаживание линий
FlowBasedAbstraction.dll:7:13,Color blending,Смешивание цвета
FlowBasedAbstraction.dll:7:14,Color blur,Размытие цвета
FlowBasedAbstraction.dll:7:15,Number of colors,Количество цветов
FlowBasedAbstraction.dll:8:0,Reset,Сбросить
FlowBasedAbstraction.dll:13:9,Color and lines,Цвет и линии
FlowBasedAbstraction.dll:13:10,Color only,Только цвет
FlowBasedAbstraction.dll:13:11,Lines only,Только линии
GaussBlur.dll:7:5,Blur,Размытие
GaussBlur.dll:7:6,Gaussian blur,Размытие по Гауссу
GaussBlur.dll:7:7,Strength,Сила
GeometricDistortionFishEye.dll:7:5,Distort,Искажение
GeometricDistortionFishEye.dll:7:6,Geometric distortion,Геометрическое искажение
GeometricDistortionFishEye.dll:7:14,Distortion,Искажение
GeometricDistortionFishEye.dll:7:15,Center,Центр
GeometricDistortionFishEye.dll:8:0,Scale ratio,Коэффициент масштабирования
GeometricDistortionPanorama.dll:7:5,Distort,Искажение
GeometricDistortionPanorama.dll:7:6,Convert to Panorama,Преобразовать в панораму
GeometricDistortionPanorama.dll:7:14,Distortion,Искажение
GeometricDistortionPanorama.dll:7:15,Center,Центр
GeometricDistortionPanorama.dll:8:0,Angle,Угол
GeometricDistortionPanorama.dll:8:1,Scale ratio,Коэффициент масштабирования
ImportPDFX.dll:63:8,PDF format,Формат PDF
ImportPDFX.dll:63:9,pdf,pdf
ImportPDFX.dll:126:0,Preset,Набор настроек
ImportPDFX.dll:126:1,Custom,Пользовательский
ImportPDFX.dll:126:2,72dpi,72dpi
ImportPDFX.dll:126:3,144dpi,144dpi
ImportPDFX.dll:126:4,300dpi,300dpi
ImportPDFX.dll:126:5,350dpi,350dpi
ImportPDFX.dll:126:6,600dpi,600dpi
ImportPDFX.dll:126:7,1200dpi,1200dpi
ImportPDFX.dll:132:4,Input resolution,Входное разрешение
ImportPDFX.dll:138:8,Binding point,Точка переплёта
ImportPDFX.dll:138:9,Left binding,Переплёт слева
