file,source,target
0238E722-export-data,https://www.clipstudio.net/en/dl,https://www.clipstudio.net/en/dl
0A24C606-3d-presets,U,U
0A24C606-3d-presets,E,E
0A24C606-3d-presets,O,O
2D481AE5-opentoonz-export,OpenToonz 1.%d,OpenToonz 1.%d
3CC82939-doodle-mode,https://us-lic.celsys.co.jp/gd/index.php?id=csp-func-en,https://us-lic.celsys.co.jp/gd/index.php?id=csp-func-en
3CC82939-doodle-mode,https://support.clip-studio.com/en-us/app-receptions/authentication-release-limitations,https://support.clip-studio.com/en-us/app-receptions/authentication-release-limitations
4CB47456-book-viewer,"CELSYS, Inc.","CELSYS, Inc."
5634F3A9-animation-timeline, , 
5634F3A9-animation-timeline,U,U
5634F3A9-animation-timeline,E,E
5634F3A9-animation-timeline,O,O
5634F3A9-animation-timeline,"You cannot edit the selected 3D object.
Please switch to the Object tool and select only one 3D Primitive or 3D drawing figure (Ver.2).","Вы не можете редактировать выбранный 3D-объект.
Пожалуйста, переключитесь на инструмент «Объект» и выберите только один 3D-примитив или 3D-фигуру (Версия 2)."
5634F3A9-animation-timeline,"You cannot edit the selected 3D primitive.
Please switch to the Object tool, and in the Sub Tool Detail palette’s Texture Settings tab, set the position to 0 and the scale ratio to 100.","Вы не можете редактировать выбранный 3D-примитив.
Переключитесь на инструмент «Объект» и на вкладке «Настройки текстуры» палитры «Детали вспомогательного инструмента» установите положение на 0 и коэффициент масштабирования на 100."
5634F3A9-animation-timeline,"You cannot edit the selected 3D object.
Please switch to the Object tool, and in the Sub Tool Detail palette’s Preferences tab, open the Rendering Settings and turn on “Use texture”.","Вы не можете редактировать выбранный 3D-объект.
Переключитесь на инструмент «Объект» и на вкладке «Настройки» палитры «Детали вспомогательного инструмента» откройте «Настройки рендеринга» и включите «Использовать текстуру»."
5634F3A9-animation-timeline,"You cannot edit the selected 3D object.
Please switch to the Object tool and check the layer visibility and layer lock settings.","Вы не можете редактировать выбранный 3D-объект.
Пожалуйста, переключитесь на инструмент «Объект» и проверьте настройки видимости слоя и блокировки слоя."
5634F3A9-animation-timeline,○,○
5634F3A9-animation-timeline,●,●
61F04D2D-license-verify,https://us-lic.celsys.co.jp/productcontrol/periodexpired?key=%s,https://us-lic.celsys.co.jp/productcontrol/ periodexpired?key=%s
61F04D2D-license-verify,---,---
61F04D2D-license-verify,https://support.clip-studio.com/en-us/app-receptions/trial-authentication-failures,https://support.clip-studio.com/en-us/app-receptions/trial-authentication-failures
61F04D2D-license-verify,https://accounts.clip-studio.com/password-reset?ui_locales=en-us,https://accounts.clip-studio.com/password-reset?ui_locales=en-us
61F04D2D-license-verify,https://accounts.clip-studio.com/register?ui_locales=en-us,https://accounts.clip-studio.com/register?ui_locales=en-us
61F04D2D-license-verify,https://us-lic.celsys.co.jp/gd/index.php?id=csp-contact-en,https://us-lic.celsys.co.jp/gd/index.php?id=csp-contact-en
61F04D2D-license-verify,https://accounts.clip-studio.com/app/register?ui_locales=en-us,https://accounts.clip-studio.com/app/register?ui_locales=en-us
61F04D2D-license-verify,See details here,Подробности смотрите здесь
61F04D2D-license-verify,https://us-lic.celsys.co.jp/gd/index.php?id=csp-lost-en,https://us-lic.celsys.co.jp/gd/index.php?id=csp-lost-en
61F04D2D-license-verify,https://us-lic.celsys.co.jp/gd/index.php?id=serial-err-en,https://us-lic.celsys.co.jp/gd/index.php?id=serial-err-en
61F04D2D-license-verify,https://www2.celsys.co.jp/support/service_en/service.html,https://www2.celsys.co.jp/support/service_en/service.html
6FFACA71-companion-mode,https://us-lic.celsys.co.jp/gd/index.php?id=serial-err-en,https://us-lic.celsys.co.jp/gd/index.php?id=serial-err-en
6FFACA71-companion-mode,See details here,Подробности смотрите здесь
6FFACA71-companion-mode,Privacy Settings,Настройки конфиденциальности
6FFACA71-companion-mode,Please help us to improve Clip Studio.,"Пожалуйста, помогите нам улучшить Clip Studio."
6FFACA71-companion-mode,See here for details about data we collect.,"Подробную информацию о данных, которые мы собираем, можно найти здесь."
6FFACA71-companion-mode,Help fix errors,Помогите исправить ошибки
6FFACA71-companion-mode,"If an error occurs, automatically send anonymous information about the incident.
This helps us resolve bugs and errors.","В случае возникновения ошибки автоматически отправлять анонимную информацию об инциденте.
Это помогает нам устранять ошибки и ошибки."
6FFACA71-companion-mode,Improve services,Улучшение услуг
6FFACA71-companion-mode,"Automatically sends information about features that you use.
This helps us to improve user experience and develop new features.","Автоматически отправляет информацию о функциях, которые вы используете.
Это помогает нам улучшать пользовательский опыт и разрабатывать новые функции."
6FFACA71-companion-mode,Set up later,Настроить позже
6FFACA71-companion-mode,https://www.clipstudio.net/gd?id=improvement-enus,https://www.clipstudio.net/gd?id=improvement-enus
742DEA58-main-ui,CLIP STUDIO PAINT,CLIP STUDIO PAINT
742DEA58-main-ui,"CELSYS, Inc.","CELSYS, Inc."
742DEA58-main-ui,CLIP STUDIO PAINT %s,CLIP STUDIO PAINT %s
742DEA58-main-ui,CLIP STUDIO,CLIP STUDIO
742DEA58-main-ui,.lip (CLIP STUDIO PAINT),.lip (CLIP STUDIO PAINT)
742DEA58-main-ui,.bmp (BMP),.bmp (BMP)
742DEA58-main-ui,.jpg (JPEG),.jpg (JPEG)
742DEA58-main-ui,.png (PNG),.png (PNG)
742DEA58-main-ui,.psd (Photoshop),.psd (Photoshop)
742DEA58-main-ui,.tif (TIFF),.tif (TIFF)
742DEA58-main-ui,.webp (WebP),.webp (WebP)
742DEA58-main-ui,OK,OK
742DEA58-main-ui,Apply tool property to text,Применить свойство инструмента к тексту
742DEA58-main-ui,Sub Tool,Дополнительный инструмент
742DEA58-main-ui,Tool Property,Свойство инструмента
742DEA58-main-ui,Sub Tool Detail,Детали вспомогательного инструмента
742DEA58-main-ui,Layer Property,Свойство слоя
742DEA58-main-ui,CLIP STUDIO.NET,CLIP STUDIO.NET
742DEA58-main-ui,%s (%s,%s (%s
742DEA58-main-ui,%ddpi %.1f%%,%ddpi %.1f%%
742DEA58-main-ui,%s%d x %dpx,%s%d x %dpx
742DEA58-main-ui,%s%.2f x %.2fin,%s%.2f x %.2fin
742DEA58-main-ui,%s%.2f x %.2fpt,%s%.2f x %.2fpt
742DEA58-main-ui,"Failed to import some 3D files. This may be due to the following:

・The file was in an unsupported format.
・The process was cancelled from the “Import 3D File” dialog.","Не удалось импортировать некоторые 3D-файлы. Это может быть связано со следующим:

・Файл имел неподдерживаемый формат.
・Процесс был отменен в диалоговом окне «Импорт 3D-файла»."
742DEA58-main-ui,Delete all selected tool and its sub tools. Do you want to proceed?,Удалить все выбранные инструменты и их подинструменты. Хотите продолжить?
742DEA58-main-ui,Are you sure you want to delete the following sub tool?,"Вы уверены, что хотите удалить следующий вспомогательный инструмент?"
742DEA58-main-ui,Are you sure you want to delete %s and the following %d sub tools?,"Вы уверены, что хотите удалить %s и следующие дополнительные инструменты %d?"
742DEA58-main-ui,Do you want to delete the selected sub tool group and its sub tools?,Вы хотите удалить выбранную вспомогательную группу инструментов и ее вспомогательные инструменты?
742DEA58-main-ui,"Auto-save is disabled. 
Please make sure you check the save status before closing any files, and save the file if necessary.
If you want your file to automatically save at regular intervals, open Preferences > File 
and turn on “Save at regular intervals”, and set the Save Method to “Overwrite.”","Автосохранение отключено. 
Прежде чем закрывать файлы, обязательно проверьте статус сохранения и сохраните файл при необходимости.
Если вы хотите, чтобы файл автоматически сохранялся через определенные промежутки времени, откройте «Настройки» > «Файл». 
и включите «Сохранять через регулярные промежутки времени» и установите для метода сохранения значение «Перезаписать»."
742DEA58-main-ui,There are no sub tools to repair.,Никаких вспомогательных инструментов для ремонта нет.
742DEA58-main-ui,"You need to save the file in CLIP STUDIO FORMAT (extension: clip) in order to use this function.
Save the file in CLIP STUDIO FORMAT, open the saved file and then try again.","Чтобы использовать эту функцию, вам необходимо сохранить файл в формате CLIP STUDIO FORMAT (расширение: clip).
Сохраните файл в формате CLIP STUDIO FORMAT, откройте сохраненный файл и повторите попытку."
742DEA58-main-ui, , 
742DEA58-main-ui,"Copied %s to the app.
You can access it from [File] > [Import] > [Movie].","Скопировал %s в приложение.
Вы можете получить к нему доступ из [Файл] > [Импорт] > [Фильм]."
742DEA58-main-ui,"Copied %s to the app.
You can access it from [File] > [Import] > [Audio].","Скопировал %s в приложение.
Вы можете получить к нему доступ из [Файл] > [Импорт] > [Аудио]."
742DEA58-main-ui,"Copied %s to the app.
You can access it from [File] > [Import] > [Vector].","Скопировал %s в приложение.
Вы можете получить к нему доступ из [Файл] > [Импорт] > [Вектор]."
742DEA58-main-ui,"Copied %s to the app.
You can access it from [File] > [Import] > [Exposure sheet].","Скопировал %s в приложение.
Вы можете получить к нему доступ из [Файл] > [Импорт] > [Лист экспозиции]."
742DEA58-main-ui,"Copied %s to the app.
You can access it from [File] > [Import] > [3D data].","Скопировал %s в приложение.
Вы можете получить к нему доступ из [Файл] > [Импорт] > [3D-данные]."
742DEA58-main-ui,.:CELSYS_EN:CLIPStudioPaint:1.0.0,.:CELSYS_EN:CLIPStudioPaint:1.0.0
742DEA58-main-ui,1,1
742DEA58-main-ui,http://www.clipstudio.net/en/?app=,http://www.clipstudio.net/en/?app=
742DEA58-main-ui,https://www.clipstudio.net/gd?id=csp-help-manual-en,https://www.clipstudio.net/gd?id=csp-help-manual-en
742DEA58-main-ui,https://gd.clip-studio.com/gd?id=csp-help-support&app=,https://gd.clip-studio.com/gd?id=csp-help-support&app=
742DEA58-main-ui,http://www.clipstudio.net/en/site/ads/csp/product_pro.html?app=,http://www.clipstudio.net/en/site/ads/csp/product_pro.html?app=
742DEA58-main-ui,http://www.clipstudio.net/en/site/sync/csp/?app=,http://www.clipstudio.net/en/site/sync/csp/?app=
742DEA58-main-ui,http://www.clipstudio.net/en/site/menu_csp/index.html,http://www.clipstudio.net/en/site/menu_csp/index.html
742DEA58-main-ui,https://www.clipstudio.net/en/functions,https://www.clipstudio.net/en/functions
742DEA58-main-ui,https://www.clipstudio.net/gd?id=csp-eura-ai-en,https://www.clipstudio.net/gd?id=csp-eura-ai-en
742DEA58-main-ui,https://www.clipstudio.net/gd?id=csp-userguide-ai-en,https://www.clipstudio.net/gd?id=csp-userguide-ai-en
742DEA58-main-ui,https://apps.apple.com/us/app/clip-studio-paint-ex-for-manga/id1262985592?ls=1&mt=8,https://apps.apple.com/us/app/clip-studio-paint-ex-for-manga/id1262985592?ls=1&mt=8
742DEA58-main-ui,https://www.clipstudio.net/gd?id=csp-samsungdex-info-enus,https://www.clipstudio.net/gd?id=csp-samsungdex-info-enus
742DEA58-main-ui,https://www.clipstudio.net/gd?id=improvement-enus,https://www.clipstudio.net/gd?id=improvement-enus
742DEA58-main-ui,https://www.clipstudio.net/gd?id=csp-restarting-problem_en,https://www.clipstudio.net/gd?id=csp-restarting-problem_en
742DEA58-main-ui,https://gd.clip-studio.com/gd?id=csp-info-corrupted-en-us,https://gd.clip-studio.com/gd?id=csp-info-corrupted-en-us
742DEA58-main-ui,https://gd.clip-studio.com/gd?id=csp-tutorial-youtube-europe,https://gd.clip-studio.com/gd?id=csp-tutorial-youtube-europe
742DEA58-main-ui,en,en
742DEA58-main-ui,%s %d/%02d/%02d %02d: %02d %s: %s,%s %d/%02d/%02d %02d: %02d %s: %s
742DEA58-main-ui,Press [Browse] and choose a folder for group work data.,Нажмите [Обзор] и выберите папку для данных групповой работы.
742DEA58-main-ui,Press [Browse] and choose which folder to create the work folder in.,"Нажмите [Обзор] и выберите, в какой папке создать рабочую папку."
742DEA58-main-ui,Press [Browse] and choose a save folder.,Нажмите [Обзор] и выберите папку для сохранения.
742DEA58-main-ui,%s %d,%s %d
742DEA58-main-ui,%s : %s,%s : %s
742DEA58-main-ui,C:\Program Files\CELSYS\IllustStudio 1.0\Tool\IllustStudio.exe,C:\Program Files\CELSYS\IllustStudio 1.0\Tool\IllustStudio.exe
742DEA58-main-ui,C:\Program Files (x86)\CELSYS\IllustStudio 1.0\Tool\IllustStudio.exe,C:\Program Files (x86)\CELSYS\IllustStudio 1.0\Tool\IllustStudio.exe
742DEA58-main-ui,C:\Program Files\CELSYS\ComicStudio4 EX\Tool\CS_EX.exe,C:\Program Files\CELSYS\ComicStudio4 EX\Tool\CS_EX.exe
742DEA58-main-ui,C:\Program Files\CELSYS\ComicStudio4 Pro\Tool\CS_Pro.exe,C:\Program Files\CELSYS\ComicStudio4 Pro\Tool\CS_Pro.exe
742DEA58-main-ui,C:\Program Files\CELSYS\ComicStudio4 Debut\Tool\CS_Debut.exe,C:\Program Files\CELSYS\ComicStudio4 Debut\Tool\CS_Debut.exe
742DEA58-main-ui,C:\Program Files (x86)\CELSYS\ComicStudio4 EX\Tool\CS_EX.exe,C:\Program Files (x86)\CELSYS\ComicStudio4 EX\Tool\CS_EX.exe
742DEA58-main-ui,C:\Program Files (x86)\CELSYS\ComicStudio4 Pro\Tool\CS_Pro.exe,C:\Program Files (x86)\CELSYS\ComicStudio4 Pro\Tool\CS_Pro.exe
742DEA58-main-ui,C:\Program Files (x86)\CELSYS\ComicStudio4 Debut\Tool\CS_Debut.exe,C:\Program Files (x86)\CELSYS\ComicStudio4 Debut\Tool\CS_Debut.exe
742DEA58-main-ui,/Applications/ComicStudio4_EX/ComicStudio EX.app,/Applications/ComicStudio4_EX/ComicStudio EX.app
742DEA58-main-ui,/Applications/ComicStudio4_Pro/ComicStudio Pro.app,/Applications/ComicStudio4_Pro/ComicStudio Pro.app
742DEA58-main-ui,/Applications/ComicStudio4_Debut/ComicStudio Debut.app,/Applications/ComicStudio4_Debut/ComicStudio Debut.app
742DEA58-main-ui,ComicStudio EX.app,ComicStudio EX.app
742DEA58-main-ui,ComicStudio Pro.app,ComicStudio Pro.app
742DEA58-main-ui,ComicStudio Debut.app,ComicStudio Дебют.приложение
742DEA58-main-ui,Manga Studio EX.app,Приложение Manga Studio EX.app
742DEA58-main-ui,Manga Studio Pro.app,Приложение Manga Studio Pro.app
742DEA58-main-ui,Manga Studio Debut.app,Студия манги Debut.app
742DEA58-main-ui,"Turn this check on for creating works with multiple pages and specify number of pages and layouts.
Even if data is created with this check off, you can switch to multiple-page layout later by using [Add Page] and [Next Page] 
 in [Story] menu.
","Включите эту галочку для создания многостраничных работ и укажите количество страниц и макетов.
Даже если данные создаются с отключенной этой галочкой, вы можете переключиться на многостраничный макет позже, используя [Добавить страницу] и [Следующая страница]. 
 в меню [История]."
742DEA58-main-ui,240,240
742DEA58-main-ui,390,390
742DEA58-main-ui,90,90
742DEA58-main-ui,590,590
742DEA58-main-ui,170,170
742DEA58-main-ui,275,275
