source,target
Catalog Name (within 40 characters),Название каталога (до 40 символов)
Cancel,Отмена
New Material Catalog,Новый каталог материалов
Copying user settings. Please wait...,Копирование пользовательских настроек. Подождите...
Material Catalog Path,Путь к каталогу материалов
Item Type,Тип элемента
Type Version,Версия типа
HSV color space,Цветовое пространство HSV
HLS color space,Цветовое пространство HLS
Switch color wheel to HLS color space,Переключить цветовой круг в цветовое пространство HLS
Switch color wheel to HSV color space,Переключить цветовой круг в цветовое пространство HSV
Hue,Цветовой тон
Saturation,Насыщенность
Luminosity,Яркость
Luminance,Яркость
Red,Красный
Green,Зелёный
Blue,Синий
Color settings,Настройки цвета
Default,По умолчанию
Color Wheel 1,Цветовой круг 1
Color Wheel 2,Цветовой круг 2
Color Set,Набор цветов
Color History,История цветов
3 Color Attribute View,Просмотр 3 атрибутов цвета
Hue Circle,Круг оттенков
Pick screen color,Выбрать цвет с экрана
Preview,Предпросмотр
Show color icon,Показать значок цвета
Open,Открыть
Save,Сохранить
Files app...,Приложение «Файлы»...
File name:,Имя файла:
Type:,Тип:
Share,Поделиться
View information,Просмотреть сведения
Change name,Изменить имя
Duplicate,Дублировать
Delete,Удалить
Import,Импортировать
Export,Экспортировать
Create folder,Создать папку
Simple,Простой
Collection,Коллекция
List,Список
Sort by name,Сортировать по имени
Sort by creation date,Сортировать по дате создания
Sort by date modified,Сортировать по дате изменения
Sort by category,Сортировать по категории
By size,По размеру
△,△
▽,▽
Name,Имя
Type,Тип
Size,Размер
Date modified,Дата изменения
Creation date,Дата создания
All,All
Folder,Папка
Copy,Копировать
New Folder,Новая папка
"""%s"" already exists. Do you want to replace it?","""%s"" уже существует. Заменить файл?"
"This dialog only shows files in file locations used in the app from Ver. 3.1.5 or earlier. If you want to open a file from another location, use the file picker from the File menu > Open.","В этом диалоговом окне отображаются только файлы в расположениях, которые использовались приложением в версии 3.1.5 или ранее. Чтобы открыть файл из другого расположения, используйте средство выбора файлов в меню «Файл» > «Открыть»."
Learn more about the file picker,Подробнее о средстве выбора файлов
Pair Tools,Парные инструменты
None,Нет
