source,target
F,F
E,E
Switch syncing,Переключить синхронизацию
Sync now,Синхронизировать сейчас
Favorites,Избранное
Show menu,Показать меню
Title,Название
Type,Тип
Cloud,Облако
Output data,Данные вывода
Date added,Дата добавления
Date modified,Дата изменения
Date synced,Дата синхронизации
Teamwork,Командная работа
Work time,Время работы
Fanzine,Фанзин
Corner store,Магазин у дома
User tag,Пользовательский тег
Default tag,Тег по умолчанию
Label,Метка
Type search keywords,Введите ключевые слова для поиска
Show all files with this label,Показать все файлы с этой меткой
Works added to your Favorites will appear here.,"Произведения, добавленные в избранное, появятся здесь."
You can add to or remove from your Favorites by clicking the “%s” button.,"Вы можете добавлять в избранное или удалять из него, нажимая кнопку “%s”."
You can create multiple-page files and select files to export.,Вы можете создавать многостраничные файлы и выбирать файлы для экспорта.
New,Новый
Delete %s,Удалить %s
Please be aware of the following points before deleting.,Перед удалением учтите следующее.
"・ Work files within this label will be removed and the files will be moved to the Recycle Bin/Trash on your computer. 
If there is not sufficient storage in your Recycle Bin, the files will be deleted entirely.
If the files are saved to external storage, the files will be deleted without being moved to the Recycle Bin.","・ Файлы произведений с этой меткой будут удалены, а файлы будут перемещены в Корзину/корзину на вашем компьютере. 
Если в Корзине недостаточно места, файлы будут удалены полностью.
Если файлы сохранены на внешнем носителе, они будут удалены без перемещения в Корзину."
・ Work files within this label will be deleted.,・ Файлы произведений с этой меткой будут удалены.
"・ Works indicated as ""Not Found"" will be deleted only from this list. The actual files will not be affected.","・ Произведения с пометкой ""Не найдено"" будут удалены только из этого списка. Сами файлы не будут затронуты."
Do you want to delete this data?,Удалить эти данные?
This operation cannot be performed as this name is already being used.,"Эту операцию нельзя выполнить, так как это имя уже используется."
This item cannot be deleted as it contains uneditable data.,"Этот элемент нельзя удалить, так как он содержит нередактируемые данные."
%d files have this label.,Эту метку имеют %d файлов.
You cannot use this function to delete labels that are currently being used for files.,"С помощью этой функции нельзя удалять метки, которые сейчас используются для файлов."
Delete selected works,Удалить выбранные произведения
Show properties window of selected works,
Switch displayed content of work list,Переключить отображаемое содержимое списка произведений
Show/Hide search bar,Показать или скрыть строку поиска
Show tag list,Показать список тегов
Show file labels,Показать метки файлов
Show files in Favorites,Показать файлы в избранном
Search tags,Искать теги
Save location label for file,Метка места сохранения файла
Large,Большой
Small,Маленький
Details,Подробнее
"The selected %d items will be moved to the Recycle Bin/Trash of your computer.
If the files are saved to external storage, the files will be deleted without being moved to the Recycle Bin.
This operation cannot be undone.",
"Delete selected %d files from this device.
This operation cannot be undone. ",
"%d items could not be found and will be deleted from this list.
 This operation does not affect the actual files.",
Delete,Удалить
Cancel,
Delete file,
"Do you want to delete these works from your Favorites?
",Удалить эти произведения из избранного?
"Do you want to delete these %d works from your Favorites?
",Удалить эти произведения (%d) из избранного?
Importing a selected work that has not been imported.,"Импорт выбранного произведения, которое не было импортировано."
"Work database is being used right now, so this command cannot be executed.
Please wait for a while and try it again.","База данных произведений сейчас используется, поэтому эту команду нельзя выполнить.
Подождите немного и повторите попытку."
Clip Studio Paint page,Страница Clip Studio Paint
Clip Studio Paint project,Проект Clip Studio Paint
Clip Studio Action project,Проект Clip Studio Action
Clip Studio Coordinate project,Проект Clip Studio Coordinate
Clip Studio Action timeline project,Проект временной шкалы Clip Studio Action
Clip Studio Action script project,Проект сценария Clip Studio Action
Clip Studio Coordinate 3D character,3D-персонаж Clip Studio Coordinate
Clip Studio Coordinate 3D background,3D-фон Clip Studio Coordinate
Clip Studio Coordinate 3D Object,3D-объект Clip Studio Coordinate
Clip Studio Modeler project,Проект Clip Studio Modeler
Clip Studio Modeler character,Персонаж Clip Studio Modeler
Clip Studio Modeler shape,Фигура Clip Studio Modeler
Clip Studio Modeler background,Фон Clip Studio Modeler
Clip Studio Modeler object,Объект Clip Studio Modeler
File,Файл
All,Все
Updated,Обновлено
すべての作品,Все произведения
すべて,Все
作品,Произведение
お気に入り,Избранное
チーム制作,Командная работа
All works,Все произведения
Material,Материал
Layer,Слой
Tool setting,Настройка инструмента
Other,Прочее
Not specified,Не указано
Page template,Шаблон страницы
Frame,Кадр
Balloon,Выноска
Sign,Манга-символы
Sound effect,Рисованный текст
Effect line,Линии эффекта
Background,Фон
Foreground,Передний план
3D pose,3D-поза
3D drawing figure,3D-фигура рисования
3D primitive,3D-примитив
3D Panorama,3D-панорама
"Insert at the bottom of canvas frame.
Settings for material in background.","Вставить в нижнюю часть рамки холста.
Настройки для материала на фоне."
"Insert in front of background.
Setting suited for material like person or some items in
hands of person.","Вставить перед фоном.
Настройка, подходящая для материалов вроде человека или предметов в
руках человека."
